站名,年份,月份,總日照時數h,總日射量MJ/ m2
桃改樹林分場,1999,1,254.5,427.2
茶改北部分場,1999,1,249.9,431.5
桃園農改,1999,1,286.0,533.5
茶改場,1999,1,276.5,504.4
農工中心,1999,1,268.5,478.7
桃改五峰分場,1999,1,253.8,436.2
桃改新埔分場,1999,1,288.9,510.0
畜試北區分所,1999,1,315.6,719.9
苗改生物防治研究中心,1999,1,297.9,556.5
苗栗農改,1999,1,301.2,601.6
種苗繁殖,1999,1,297.5,539.4
農業試驗所,1999,1,214.3,377.8
王功漁港,1999,1,295.4,547.3
臺中農改,1999,1,293.4,538.6
中改埔里分場,1999,1,*252.9,*398.1
林試畢祿溪站,1999,1,*246.2,*422.7
臺大內茅埔,1999,1,229.0,364.4
臺大和社,1999,1,234.6,370.7
臺大溪頭,1999,1,200.1,291.0
臺大竹山,1999,1,276.4,478.3
茶改中部分場,1999,1,260.8,418.9
茶改南部分場,1999,1,275.2,475.7
萬大發電廠,1999,1,258.1,468.2
蓮華池,1999,1,261.3,407.1
南改斗南分場,1999,1,289.5,532.4
口湖工作站,1999,1,294.1,560.1
四湖植物園,1999,1,288.5,535.2
水試臺西試驗場,1999,1,*283.6,*527.5
海口故事園區,1999,1,275.7,498.4
臺大雲林校區,1999,1,292.1,536.9
麥寮合作社,1999,1,296.4,551.4
農試嘉義分所,1999,1,*257.4,*455.8
南改義竹分場,1999,1,290.6,536.8
南改鹿草分場,1999,1,287.1,530.9
布袋國中,1999,1,288.5,549.3
農試溪口農場,1999,1,*264.0,*496.3
七股研究中心,1999,1,294.2,561.9
六官養殖協會,1999,1,291.6,534.9
水試所海水繁養殖中心,1999,1,288.3,543.5
畜試所,1999,1,293.8,532.0
臺南蘭花園區,1999,1,287.8,525.4
臺南農改,1999,1,295.8,539.3
林試六龜中心,1999,1,293.1,556.2
林試扇平站,1999,1,254.2,445.7
農試鳳山分所,1999,1,*280.6,*506.7
高改旗南分場,1999,1,*281.8,*511.7
崎峰國小,1999,1,303.7,607.6
恆春工作站,1999,1,XXX,XXX
東港工作站,1999,1,306.5,613.5
畜試南區分所,1999,1,*296.5,*618.7
高雄農改,1999,1,312.5,717.9
畜試東區分所,1999,1,258.3,448.9
花改蘭陽分場,1999,1,248.4,410.9
花蓮農改,1999,1,243.1,383.7
東改班鳩分場,1999,1,231.4,352.9
東改賓朗果園,1999,1,*223.5,*342.0
林試太麻里1,1999,1,250.0,429.1
林試太麻里2,1999,1,*252.8,*456.9
茶改東部分場,1999,1,*236.9,*399.6
桃改樹林分場,1999,2,254.5,427.2
茶改北部分場,1999,2,249.9,431.5
桃園農改,1999,2,286.0,533.5
茶改場,1999,2,276.5,504.4
農工中心,1999,2,268.5,478.7
桃改五峰分場,1999,2,253.8,436.2
桃改新埔分場,1999,2,288.9,510.0
畜試北區分所,1999,2,315.6,719.9
苗改生物防治研究中心,1999,2,297.9,556.5
苗栗農改,1999,2,301.2,601.6
種苗繁殖,1999,2,297.5,539.4
農業試驗所,1999,2,214.3,377.8
王功漁港,1999,2,295.4,547.3
臺中農改,1999,2,293.4,538.6
中改埔里分場,1999,2,*252.9,*398.1
林試畢祿溪站,1999,2,*246.2,*422.7
臺大內茅埔,1999,2,229.0,364.4
臺大和社,1999,2,234.6,370.7
臺大溪頭,1999,2,200.1,291.0
臺大竹山,1999,2,276.4,478.3
茶改中部分場,1999,2,260.8,418.9
茶改南部分場,1999,2,275.2,475.7
萬大發電廠,1999,2,258.1,468.2
蓮華池,1999,2,261.3,407.1
南改斗南分場,1999,2,289.5,532.4
口湖工作站,1999,2,294.1,560.1
四湖植物園,1999,2,288.5,535.2
水試臺西試驗場,1999,2,*283.6,*527.5
海口故事園區,1999,2,275.7,498.4
臺大雲林校區,1999,2,292.1,536.9
麥寮合作社,1999,2,296.4,551.4
農試嘉義分所,1999,2,*257.4,*455.8
南改義竹分場,1999,2,290.6,536.8
南改鹿草分場,1999,2,287.1,530.9
布袋國中,1999,2,288.5,549.3
農試溪口農場,1999,2,*264.0,*496.3
七股研究中心,1999,2,294.2,561.9
六官養殖協會,1999,2,291.6,534.9
水試所海水繁養殖中心,1999,2,288.3,543.5
畜試所,1999,2,293.8,532.0
臺南蘭花園區,1999,2,287.8,525.4
臺南農改,1999,2,295.8,539.3
林試六龜中心,1999,2,293.1,556.2
林試扇平站,1999,2,254.2,445.7
農試鳳山分所,1999,2,*280.6,*506.7
高改旗南分場,1999,2,*281.8,*511.7
崎峰國小,1999,2,303.7,607.6
恆春工作站,1999,2,XXX,XXX
東港工作站,1999,2,306.5,613.5
畜試南區分所,1999,2,*296.5,*618.7
高雄農改,1999,2,312.5,717.9
畜試東區分所,1999,2,258.3,448.9
花改蘭陽分場,1999,2,248.4,410.9
花蓮農改,1999,2,243.1,383.7
東改班鳩分場,1999,2,231.4,352.9
東改賓朗果園,1999,2,*223.5,*342.0
林試太麻里1,1999,2,250.0,429.1
林試太麻里2,1999,2,*252.8,*456.9
茶改東部分場,1999,2,*236.9,*399.6
桃改樹林分場,1999,3,254.5,427.2
茶改北部分場,1999,3,249.9,431.5
桃園農改,1999,3,286.0,533.5
茶改場,1999,3,276.5,504.4
